,Player Name,Salary
383.,Isaiah Roby,"$1,782,621"
383.,Daniel Gafford,"$1,782,621"
383.,Nicolas Claxton,"$1,782,621"
383.,Cody Martin,"$1,782,621"
383.,Dean Wade,"$1,782,621"
383.,Vlatko Cancar,"$1,782,621"
383.,Bruno Fernando,"$1,782,621"
383.,Carsen Edwards,"$1,782,621"
383.,Luguentz Dort,"$1,782,621"
383.,KZ Okpala,"$1,782,621"
383.,Eric Paschall,"$1,782,621"
399.,Drew Eubanks,"$1,762,796"
399.,Chimezie Metu,"$1,762,796"
399.,Yuta Watanabe,"$1,762,796"
402.,Thanasis Antetokounmpo,"$1,729,217"
402.,Keita Bates-Diop,"$1,729,217"
402.,Sviatoslav Mykhailiuk,"$1,729,217"
402.,Isaiah Hartenstein,"$1,729,217"
402.,Moritz Wagner,"$1,729,217"
402.,Isaac Bonga,"$1,729,217"
408.,Moses Brown,"$1,701,593"
408.,Juan Toscano-Anderson,"$1,701,593"
408.,Oshae Brissett,"$1,701,593"
411.,Herb Jones,"$1,700,000"
412.,Gabriel Deck,"$1,690,507"
413.,Javonte Green,"$1,669,178"
413.,Max Strus,"$1,669,178"
413.,Gabe Vincent,"$1,669,178"
413.,Kevin Pangos,"$1,669,178"
413.,DeAndre Bembry,"$1,669,178"
413.,Matt Thomas,"$1,669,178"
413.,Gary Payton II,"$1,669,178"
420.,Lance Stephenson,"$1,614,825"
421.,Deividas Sirvydis,"$1,603,559"
421.,Daniel Oturu,"$1,603,559"
423.,Bismack Biyombo,"$1,518,213"
424.,Nick Richards,"$1,517,981"
424.,Lamar Stevens,"$1,517,981"
424.,KJ Martin,"$1,517,981"
424.,Xavier Tillman,"$1,517,981"
424.,Naji Marshall,"$1,517,981"
424.,Isaiah Joe,"$1,517,981"
424.,Paul Reed,"$1,517,981"
424.,Robert Woodard,"$1,517,981"
424.,Tre Jones,"$1,517,981"
424.,Vernon Carey,"$1,517,981"
424.,Jae'Sean Tate,"$1,517,981"
424.,Sam Merrill,"$1,517,981"
424.,Jordan Nwora,"$1,517,981"
424.,CJ Elleby,"$1,517,981"
424.,Elijah Hughes,"$1,517,981"
424.,Jahmi'us Ramsey,"$1,517,981"
424.,Anthony Gill,"$1,517,981"
441.,Isaiah Todd,"$1,500,000"
442.,Saben Lee,"$1,489,065"
442.,Armoni Brooks,"$1,489,065"
442.,Omer Yurtseven,"$1,489,065"
445.,JR Smith,"$1,456,667"
446.,Stanley Johnson,"$1,368,998"
447.,DeMarcus Cousins,"$1,355,746"
448.,Alfonzo McKinnie,"$1,295,669"
449.,Marquese Chriss,"$1,292,900"
450.,JT Thor,"$1,250,000"
451.,Garrison Mathews,"$1,247,809"
452.,DeMarre Carroll,"$1,242,340"
453.,Jabari Parker,"$1,068,288"
454.,Zhaire Smith,"$1,068,200"
455.,Jason Preston,"$1,062,303"
456.,Isaiah Livers,"$1,057,260"
457.,Killian Tillie,"$1,052,534"
458.,Guerschon Yabusele,"$1,039,080"
459.,Kyle Singler,"$999,200"
460.,Denzel Valentine,"$983,340"
461.,Miye Oni,"$946,261"
462.,BJ Boston,"$925,258"
462.,Austin Reaves,"$925,258"
462.,Miles McBride,"$925,258"
462.,Vit Krejci,"$925,258"
462.,Charles Bassey,"$925,258"
462.,Greg Brown,"$925,258"
462.,Jock Landale,"$925,258"
462.,Jared Butler,"$925,258"
462.,Ayo Dosunmu,"$925,258"
462.,Marko Simonovic,"$925,258"
462.,Luka Garza,"$925,258"
462.,Dalano Banton,"$925,258"
474.,Brad Wanamaker,"$814,918"
475.,Wayne Selden,"$812,363"
476.,Gary Clark,"$811,213"
477.,Alize Johnson,"$804,980"
478.,Kelan Martin,"$801,900"
479.,Patrick Patterson,"$737,067"
480.,Admiral Schofield,"$723,741"
481.,Luke Kornet,"$713,164"
482.,Ishmail Wainright,"$707,311"
483.,Shaun Livingston,"$666,666"
484.,Sam Hauser,"$602,539"
485.,Keifer Sykes,"$558,345"
486.,Davon Reed,"$532,398"
487.,Chris Silva,"$479,650"
488.,Sharife Cooper,"$462,629"
488.,Skylar Mays,"$462,629"
488.,Brodric Thomas,"$462,629"
488.,David Duke,"$462,629"
488.,Kessler Edwards,"$462,629"
488.,Arnoldas Kulboka,"$462,629"
488.,Scottie Lewis,"$462,629"
488.,Tyler Cook,"$462,629"
488.,RJ Nembhard,"$462,629"
488.,Markus Howard,"$462,629"
488.,Jamorko Pickett,"$462,629"
488.,Sean Chris Smith,"$462,629"
488.,Chris Chiozza,"$462,629"
488.,Daishen Nix,"$462,629"
488.,Duane Washington Jr,"$462,629"
488.,Amir Coffey,"$462,629"
488.,Jay Scrubb,"$462,629"
488.,Yves Pons,"$462,629"
488.,Caleb Martin,"$462,629"
488.,Georgios Kalaitzakis,"$462,629"
488.,Sandro Mamukelashvili,"$462,629"
488.,Nathan Knight,"$462,629"
488.,McKinley Wright,"$462,629"
488.,Jose Alvarado,"$462,629"
488.,Jericho Sims,"$462,629"
488.,Aaron Wiggins,"$462,629"
488.,Ignas Brazdeikis,"$462,629"
488.,Keljin Blevins,"$462,629"
488.,Trendon Watford,"$462,629"
488.,Louis King,"$462,629"
488.,Neemias Queta,"$462,629"
488.,Devontae Cacok,"$462,629"
488.,Joe Wieskamp,"$462,629"
488.,Justin Champagnie,"$462,629"
488.,David Johnson,"$462,629"
488.,Trent Forrest,"$462,629"
488.,Joel Ayayi,"$462,629"
488.,Cassius Winston,"$462,629"
526.,Theo Pinson,"$440,710"
527.,Charlie Brown,"$431,151"
528.,Kyle Guy,"$425,198"
529.,Greg Monroe,"$414,057"
530.,Wenyen Gabriel,"$397,520"
531.,James Ennis,"$386,127"
531.,Langston Galloway,"$386,127"
533.,Sam Dekker,"$350,000"
534.,Quinndary Weatherspoon,"$346,491"
535.,Brandon Goodwin,"$343,988"
536.,Terry Taylor,"$342,984"
537.,Malcolm Hill,"$324,373"
538.,Justin Jackson,"$308,493"
538.,Shaquille Harrison,"$308,493"
540.,Isaiah Thomas,"$303,642"
541.,Trevelin Queen,"$303,102"
541.,Paul Watson,"$303,102"
543.,Myles Powell,"$300,443"
544.,Jontay Porter,"$300,000"
545.,Mason Jones,"$295,125"
546.,Eugene Omoruyi,"$281,831"
547.,Justin Robinson,"$265,953"
548.,Tim Frazier,"$257,418"
548.,Tyler Johnson,"$257,418"
550.,Cassius Stanley,"$256,734"
550.,Zylan Cheatham,"$256,734"
550.,Mamadi Diakite,"$256,734"
553.,Jeff Dowtin,"$252,585"
554.,Devon Dotson,"$239,291"
555.,Marcus Garrett,"$236,632"
556.,Lindell Wigginton,"$233,973"
557.,Malik Fitts,"$228,656"
558.,Jay Huff,"$225,997"
559.,Aaron Henry,"$223,338"
560.,Justin Anderson,"$222,914"
561.,Freddie Gillespie,"$221,156"
562.,JaQuori McLaughlin,"$220,679"
563.,Tacko Fall,"$218,021"
563.,Petr Cornelie,"$218,021"
565.,Mychal Mulder,"$210,044"
566.,Ryan Arcidiacono,"$205,662"
566.,Damyean Dotson,"$205,662"
566.,DJ Wilson,"$205,662"
569.,Norvel Pelle,"$191,860"
569.,Rayjon Tucker,"$191,860"
569.,Tremont Waters,"$191,860"
572.,DeJon Jarreau,"$172,821"
573.,Dakota Mathias,"$171,156"
573.,Matt Mooney,"$171,156"
575.,Daulton Hommes,"$167,504"
576.,Grant Riller,"$162,186"
577.,Xavier Moon,"$159,528"
578.,Lindy Waters III,"$159,527"
579.,Joe Johnson,"$151,821"
579.,CJ Miles,"$151,821"
579.,Ersan Ilyasova,"$151,821"
579.,Darren Collison,"$151,821"
579.,Anthony Tolliver,"$151,821"
584.,Chaundee Brown,"$146,234"
585.,Mario Chalmers,"$138,019"
586.,Brandon Knight,"$137,336"
587.,Troy Williams,"$122,741"
588.,Ja'Vonte Smart,"$119,645"
589.,Nik Stauskas,"$111,457"
589.,Emmanuel Mudiay,"$111,457"
591.,Mac McClung,"$106,352"
591.,Carlik Jones,"$106,352"
591.,Olivier Sarr,"$106,352"
591.,Hassani Gravett,"$106,352"
591.,Paris Bass,"$106,352"
596.,Jordan Bell,"$102,831"
596.,Cheick Diallo,"$102,831"
598.,Derrick Walton,"$95,930"
598.,DaQuan Jeffries,"$95,930"
598.,Justin James,"$95,930"
598.,Jaylen Hoard,"$95,930"
598.,Scotty Hopson,"$95,930"
598.,BJ Johnson,"$95,930"
598.,Jaylen Morris,"$95,930"
598.,Juwan Morgan,"$95,930"
606.,Demetrius Jackson,"$92,857"
607.,Chris Clemons,"$85,578"
607.,Cameron Oliver,"$85,578"
607.,Malik Newman,"$85,578"
607.,George King,"$85,578"
607.,Nate Hinton,"$85,578"
607.,Reggie Perry,"$85,578"
607.,Jemerrio Jones,"$85,578"
607.,Haywood Highsmith,"$85,578"
607.,Emanuel Terry,"$85,578"
607.,Anthony Lamb,"$85,578"
617.,Anthony Barber,"$53,176"
